"","unitSamplingEpisodeID","treeID","plotID","treeTagNo","speciesID","dbh_in","ht_ft","htlc_ft","cbh_ft","statusID","notes","dateCreated","crownScorch_.","maxScorchHt_ft","minBoleChar_ft","maxBoleChar_ft","burnSeverity","unitName","Error"
"188",1,2665,14,1886,1029,24.3,16.7,27.4,27.4,1,"","11/23/2016",NA,NA,NA,NA,NA,"Canteen","Logical Bound (Htlc > Ht)"
"311",1,2463,2,3835,858,0.6,5,5.5,0.5,1,"","11/17/2016",NA,NA,NA,NA,NA,"Canteen","Logical Bound (Htlc > Ht)"
"1596",11,1322,199,696,1029,10.5,34,50,34,1,"","11/8/2016",15,44,0.1,4,2,"Angel","Logical Bound (Htlc > Ht)"
"4",1,2480,4,3852,917,2.3,6,2.5,8.5,1,"","11/17/2016",NA,NA,NA,NA,NA,"Canteen","Logical Bound (Cbh > Htlc)"
"45",1,2521,7,3893,917,2.9,24.3,6,12.6,1,"","11/22/2016",NA,NA,NA,NA,NA,"Canteen","Logical Bound (Cbh > Htlc)"
"159",1,2514,7,3886,1030,5.9,20.1,6.5,7,1,"","11/17/2016",NA,NA,NA,NA,NA,"Canteen","Logical Bound (Cbh > Htlc)"
"174",1,2651,12,1872,1030,4.4,17.6,4.4,5.5,1,"","11/23/2016",NA,NA,NA,NA,NA,"Canteen","Logical Bound (Cbh > Htlc)"
"200",1,2677,15,1898,1029,4.2,13.3,5.7,6.9,1,"","11/23/2016",NA,NA,NA,NA,NA,"Canteen","Logical Bound (Cbh > Htlc)"
"1079",9,956,149,641,1030,1.3,81,2,3,1,"Top broken","",NA,NA,NA,NA,NA,"Goat","Logical Bound (Cbh > Htlc)"
"1326",10,1979,165,925,1029,13.8,75,37,46,1,"","11/14/2016",25,48,3,19,2,"Orion 2","Logical Bound (Cbh > Htlc)"
"1555",10,2112,173,3576,1029,0.4,5,0,4,1,"","11/14/2016",100,5,0,0.1,3,"Orion 2","Logical Bound (Cbh > Htlc)"
"1600",11,1313,199,188,1029,23.3,88,31,37,1,"","11/8/2016",1,21,2,10,2,"Angel","Logical Bound (Cbh > Htlc)"
"1672",11,1277,195,152,1030,10.6,47,9,10,1,"","11/8/2016",100,47,12,13,3,"Angel","Logical Bound (Cbh > Htlc)"
"1749",11,1151,187,430,1029,22.3,64,21,42,1,"","11/8/2016",10,26,1,6,2,"Angel","Logical Bound (Cbh > Htlc)"
"2043",14,1480,243,142,1030,7.4,40,8,9,1,"","11/9/2016",60,32,0,0,2,"Chumstick ZUI","Logical Bound (Cbh > Htlc)"
"2203",15,1883,259,3984,967,5.3,39,10,20,1,"","11/14/2016",NA,NA,NA,NA,NA,"Upper Rendezvous 1","Logical Bound (Cbh > Htlc)"
"2266",15,1866,257,3967,1030,7.1,43,2,3,1,"","11/14/2016",NA,NA,NA,NA,NA,"Upper Rendezvous 1","Logical Bound (Cbh > Htlc)"
"2268",15,1868,257,3969,1029,6.3,26,1,7,1,"","11/14/2016",NA,NA,NA,NA,NA,"Upper Rendezvous 1","Logical Bound (Cbh > Htlc)"
"2275",15,293,247,3308,1030,1.8,10,0.5,4.5,1,"","",NA,NA,NA,NA,NA,"Upper Rendezvous 1","Logical Bound (Cbh > Htlc)"
"2454",16,2985,267,701,1030,17.1,103,10,90,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2458",16,2989,267,705,1030,25.2,109,9,100,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2459",16,2990,267,706,1030,15.6,111,8,101,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2460",16,2991,267,707,1030,27.1,131,20,120,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2461",16,2992,267,708,1015,5.9,27,7,10,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2463",16,2994,267,710,1030,26.8,131,30,70,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2467",16,2998,269,714,1030,17.2,99,28,57,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2471",16,3002,269,718,1030,24,97,25,48,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2475",16,3006,273,722,1030,24.5,102,25,42,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2477",16,3008,273,724,1030,19.8,60,5,20,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2479",16,3010,275,726,1030,16.3,115,42,71,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2480",16,3011,275,727,1030,21.5,116,40,62,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2481",16,3012,275,728,1030,18.3,107,35,64,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2482",16,3013,275,729,1030,11.8,109,20,60,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2483",16,3014,275,730,1030,19,125,29,75,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2484",16,3015,275,731,1030,20.7,117,25,71,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2485",16,3016,275,732,1030,17.2,113,18,69,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2486",16,3017,275,733,1030,18,114,20,55,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2487",16,3018,275,734,1030,18.2,116,33,64,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2489",16,3020,277,736,1030,16.4,98,42,46,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2491",16,3022,277,738,1030,20.2,99,35,42,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2492",16,3023,277,739,1030,14.9,86,40,45,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2494",16,3025,277,741,1030,19.6,97,38,40,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2495",16,3026,279,742,1030,19.1,120,30,48,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2496",16,3027,279,743,1030,20.4,110,35,55,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2497",16,3028,279,744,1030,18.8,107,28,56,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2498",16,3029,279,745,1030,19.5,69,20,39,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2499",16,3030,279,746,1030,19.4,85,32,48,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2500",16,3031,279,747,1030,16.3,108,29,80,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2501",16,3032,279,748,1030,15.5,109,26,78,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2502",16,3033,279,749,1030,15.9,100,40,45,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2503",16,3034,279,750,1030,20.1,110,37,48,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2504",16,3035,281,751,1030,19,105,44,50,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2505",16,3036,281,752,1030,14.2,107,38,60,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2506",16,3037,281,753,1030,18,115,49,52,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2508",16,3039,281,755,1030,16.9,99,32,49,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2515",16,3046,283,763,1030,9.6,39,14,18,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2518",16,3049,283,766,1030,19.3,98,32,50,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2519",16,3050,285,767,858,2.8,10,3,6,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2520",16,3051,285,768,858,1.3,7,2,4,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
"2524",16,3055,285,772,858,2.4,9,3,4,1,"","12/1/2016",NA,NA,NA,NA,NA,"Natapoc 35","Logical Bound (Cbh > Htlc)"
