unitSamplingEpisodeID,unitID,samplingEpisodeTypeID,samplingStartDate,samplingEndDate,transectLength_1hr,transectLength_10hr,transectLength_100hr,transectLength_GT1000hr,slash_nonslash,skipped_1hr,woodyDominantSpID,defaultClipPlotSize,clipPlotAreaUnitID,numPinsPerPlot,numPlots,numTransectsPerPlot,numFWDTransectsPerPlot,numCWDTransectsPerPlot,notes,dateEntered
1,1,1,8/7/2016,8/9/2016,6,10,66,66,0,0,,2,1,,20,3,,3,,
2,2,1,8/2/2016,8/5/2016,6,10,66,66,0,0,,2,1,,20,3,,3,,
4,6,1,8/21/2016,9/24/2016,6,10,66,66,0,0,,2,1,,,,,,,
5,5,1,8/17/2016,8/18/2016,6,10,66,66,0,0,,2,1,,20,3,,3,,
6,4,1,8/22/2016,,6,10,66,66,0,0,,1,1,,,,,3,,
7,7,1,8/24/2016,,6,10,66,66,0,0,,2,1,,20,3,,3,,
8,10,1,9/11/2016,,6,10,66,66,0,0,,2,1,,20,3,,,,
9,11,1,9/9/2016,,6,10,66,66,0,0,,2,1,,20,3,,,,
10,12,1,9/10/2016,,6,10,66,66,0,0,,2,1,,20,3,,3,,
11,13,1,9/20/2016,,6,10,66,66,0,0,,2,1,8,20,3,,3,,
12,14,1,9/23/2016,9/25/2016,6,10,66,66,0,0,,2,1,16,20,3,,3,,
13,18,1,10/13/2016,10/13/2016,6.6,9.8,98.4,,0,0,,2,1,,6,2,,1,,
14,16,1,9/12/2016,,6,10,66,66,0,0,,2,1,,,3,,3,,
15,17,1,9/7/2016,,6,10,66,66,0,0,,2,1,,20,3,,,,
16,15,1,10/6/2016,10/8/2016,3,5,33,33,0,0,,2,1,,20,3,,3,,
17,13,3,10/8/2016,,6,10,66,66,0,0,,2,1,16,20,3,,3,,
21,12,2,9/22/2016,,,,,,,,,,,,20,3,,,,
22,12,3,10/12/2016,,6,10,66,66,0,0,,2,1,,20,3,,2,,
23,16,3,10/24/2016,10/25/2016,6,10,66,66,0,0,,2,1,,,,,3,,
24,5,2,9/27/2016,9/28/2016,,,,,,,,,,,,,,,,
25,5,3,10/31/2016,11/2/2016,6,10,66,66,0,0,,2,1,,,,,3,,
26,6,2,9/26/2016,9/28/2016,,,,,,,,,,,,,,,,
27,6,3,10/18/2016,10/19/2016,6,10,66,66,0,0,,2,1,,,,,3,,
28,16,2,,,,,,,,,,1,1,,,,,,,
